Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005
Aruba;ABW;12307,31174;13496,00339;14046,504;14936,82704;16241,04632;16439,35636;16586,06844;17927,74964;19078,34319;19356,20339;20620,70063;20669,03197;20436,88713;20833,76161;22569,97499;23300,03956
Afghanistan;AFG;;;;;;;;;;;;;179,4264945;190,6840088;211,3819695;242,0313792
Angola;AGO;947,7041821;865,6927296;656,361756;441,2006733;328,6732947;397,1794508;522,6438073;514,2952232;423,5936602;387,784316;556,8363181;527,3335285;872,4944916;982,9608993;1255,564045;1902,422346
Albania;ALB;617,2304355;336,5869945;200,8522198;367,2792251;586,4163396;750,6044492;1009,977668;717,3805674;813,7902636;1033,241693;1126,683318;1281,659393;1425,124849;1846,118813;2373,579844;2673,787283
Andorra;AND;18878,50597;19532,54015;20547,71179;16516,47103;16234,80901;18461,06486;19017,17459;18353,05972;18894,5215;19261,7105;21936,5301;22228,84649;24741,49357;32776,44227;38503,47961;41282,02012
Arab World;ARB;2006,127083;1925,420554;2024,030617;1993,741976;1986,173403;2069,444316;2232,793677;2316,068514;2186,370681;2329,864537;2603,67171;2507,936771;2474,357378;2734,149465;3132,30395;3763,034046
United Arab Emirates;ARE;27729,46642;26612,33554;26420,87275;25596,69227;25847,92612;27222,03586;28975,0229;29512,66374;26899,60177;28470,83786;33291,41937;31280,78428;31567,47371;33499,09375;36333,24984;39365,4339
Argentina;ARG;4333,482973;5735,360327;6823,537616;6969,118088;7483,139682;7408,708238;7721,354543;8213,1272;8289,505729;7774,736203;7708,100996;7208,371567;2593,40415;3349,806124;4277,721351;5109,851325
Armenia;ARM;637,8546595;590,1210473;369,6326166;357,2032777;400,5152381;456,3750487;504,0585594;523,283068;609,1724375;597,4325147;622,7421391;694,4232277;783,2406986;930,1273219;1191,91902;1643,753029
American Samoa;ASM;;;;;;;;;;;;;8700,067705;8856,547459;8578,944723;8444,9817
Antigua and Barbuda;ATG;7348,212943;7601,848491;7744,274917;8136,16884;8770,751631;8406,592992;9030,975299;9492,038256;9940,191639;10260,58502;10920,84269;10370,67113;10404,43621;10789,95096;11446,63847;12547,61304
Australia;AUS;18211,27459;18821,47739;18569,81275;17634,25635;18046,02024;20319,63063;21861,32551;23468,59683;21318,96417;20533,03506;21679,24784;19490,86111;20082,48327;23447,031;30430,67644;33999,24286
Austria;AUT;21680,98969;22410,91174;24880,16407;24081,52781;25646,70066;30325,84958;29809,07677;26705,4786;27361,87511;27174,29716;24564,45829;24537,51426;26401,74546;32222,89724;36821,52147;38403,13388
Azerbaijan;AZE;1237,324492;1209,237493;676,1515115;529,8136618;436,216869;397,1981161;409,2107552;505,5637747;561,9070354;573,8932966;655,0974326;703,6838434;763,080638;883,6439965;1045,009379;1578,40239
Burundi;BDI;208,1467554;209,7778979;190,489014;161,8875529;156,8123012;167,0989158;143,4023001;158,9146699;144,493064;128,9390833;136,4639708;134,3634475;123,117628;113,5673664;128,3366128;151,6814634
Belgium;BEL;20600,37525;21041,66064;23372,61913;22283,93601;24208,55484;28413,82644;27489,55518;24820,93805;25338,44329;25244,27505;23041,53473;22995,15752;24887,56133;30587,66841;35364,37533;36795,97688
Benin;BEN;393,6862144;385,753616;317,9628553;411,9260305;279,6665043;367,387341;387,4329246;361,1002698;379,442354;403,6237038;374,1923942;378,736054;418,6985763;519,2922847;583,4093514;601,799977
Burkina Faso;BFA;351,9793229;346,4106724;240,963481;244,1270735;193,0702363;235,8321973;249,3602944;229,4931177;255,7182334;265,3401156;226,4759814;235,4912324;260,7635413;332,3443051;371,3230865;406,9988071
Bangladesh;BGD;306,2687038;293,1604155;293,6449985;300,5557532;299,5330397;329,4240846;394,7174751;401,4986908;407,4291862;409,5431969;418,0689683;415,0344266;413,0802546;446,3106592;475,2919198;499,4619402
Bulgaria;BGR;2366,529821;1267,734375;1211,980878;1278,247173;1148,494399;2244,516909;1457,035619;1348,827568;1809,683845;1648,104859;1609,882452;1757,44378;2076,830682;2698,624248;3363,799644;3869,529455
Bahrain;BHR;8528,983334;9055,679936;9082,758533;9698,189063;10130,50523;10376,9717;10544,70357;10672,16601;10076,22062;10401,54581;13636,39623;12868,26916;13049,80322;14222,0368;15846,54414;17959,25544
Bahamas, The;BHS;12356,4239;11919,7879;11686,69581;11406,68981;11814,5632;12238,3862;12708,73096;22036,48411;23514,42031;26130,10182;27097,61081;27486,23677;28866,80101;28327,27087;28395,92466;30278,36692
Bosnia and Herzegovina;BIH;;;;;319,0130351;487,4767772;740,0985068;982,8018491;1102,390983;1251,747261;1467,776477;1530,814816;1769,199828;2224,745864;2814,999895;2980,602109
Belarus;BLR;2124,840514;1765,744556;1667,681777;1590,095882;1460,059076;1370,676559;1452,445488;1396,501786;1511,770053;1210,61172;1276,288034;1244,373185;1479,314583;1819,766059;2378,623286;3125,810535
Belize;BLZ;2197,185023;2326,821554;2666,8816;2832,975327;2880,125446;2996,382928;3001,83372;2952,948596;2992,444754;3065,979673;3364,423711;3418,216676;3554,230347;3675,880301;3825,78733;3926,013742
Bermuda;BMU;26841,51974;27700,30952;28669,68226;30900,69489;31476,06312;33989,72236;44826,78907;48478,88325;51371,74081;54245,45974;56284,16865;58883,95943;62583,1002;66111,72523;70359,31911;75882,03386
Bolivia;BOL;709,0596725;762,0780331;788,1519898;784,1917393;801,0460297;880,992224;950,8565084;998,5153242;1049,499374;1003,392231;997,5824599;948,8712066;904,2266273;907,5371101;967,406992;1034,31124
Brazil;BRA;3100,280468;3975,390089;2596,919876;2791,209124;3500,61149;4748,215529;5166,163745;5282,008828;5087,152221;3478,37273;3749,75325;3156,798718;2829,283192;3070,910491;3637,462389;4790,437088
Barbados;BRB;7754,078594;7663,503291;7421,087468;7754,417002;8121,374224;8505,084959;9031,574423;9505,667594;10672,39175;11137,25495;11496,6024;11437,24771;11592,20993;11937,67338;12766,27047;14104,14623
Brunei Darussalam;BRN;13607,5221;13905,06387;15274,44463;14575,72982;14120,85499;15933,34557;16793,28097;16660,36125;12693,79098;14101,34576;18012,55626;16472,14862;16850,15113;18560,60857;21902,08805;26105,27903
Bhutan;BTN;564,7796095;467,6971074;469,1989755;441,6848237;509,1240695;566,8576986;584,3791581;663,3288566;667,9136238;725,1247411;718,1878292;764,4366087;845,5102794;962,0969045;1068,421777;1228,441823
Botswana;BWA;2945,83204;2972,726711;3040,960404;2973,380401;2970,122568;3219,912051;3221,67621;3258,980312;3039,970731;3405,812598;3522,308678;3278,00825;3190,615453;4330,9449;5073,53765;5520,12472
Central African Republic;CAF;513,305285;478,5029439;477,1223243;419,802566;271,5056708;346,1088406;304,6312597;276,4212702;278,3313409;280,908819;251,2068774;250,3570114;260,7455273;293,6618517;320,7374603;331,1629242
Canada;CAN;21448,36196;21768,34329;20879,84833;20121,16125;19935,38146;20613,78788;21227,34753;21829,23344;20952,06946;22238,66454;24190,24962;23738,18072;24169,28473;28200,65808;32034,30774;36266,18712
Central Europe and the Baltics;CEB;;;;;;3571,594296;3785,311073;3738,678861;4098,773095;3979,073242;3941,582086;4346,274596;4928,579166;5934,687883;7162,923405;8345,643163
Switzerland;CHE;38428,3855;38399,21061;39534,542;38100,73673;41843,75688;48662,48651;46676,81356;40417,94079;41497,15784;40581,34936;37868,296;38538,9791;41376,37281;48087,54377;53340,19698;54952,67549
Channel Islands;CHI;;;;;;;;;40585,38258;42443,43233;43381,65784;41804,37092;44544,43344;48859,48302;56753,3862;58197,44938
Chile;CHL;2494,525669;2803,56209;3350,213845;3535,1736;4024,216932;5107,276802;5349,804127;5745,373795;5446,580613;4957,777884;5074,901624;4574,594421;4446,250505;4772,56282;6194,853107;7598,525121
China;CHN;317,884673;333,1421454;366,4606923;377,3898395;473,4922787;609,6566792;709,4137551;781,7441643;828,5804793;873,2870617;959,3724836;1053,108243;1148,50829;1288,643252;1508,668098;1753,417829
Cote d'Ivoire;CIV;905,3217159;848,75291;870,4811773;832,2827452;605,2635873;774,6712121;827,7620057;774,7276313;809,0126883;771,968406;651,3059068;664,1276663;716,5302656;869,7125993;921,2012673;930,8298181
Cameroon;CMR;946,6464131;1024,424135;911,7414218;1204,762973;801,1617038;709,1148297;752,5250994;755,2397068;720,7969746;740,9965643;649,9918454;651,1009075;707,8875674;865,9581375;1009,94312;1011,880073
Congo, Dem. Rep.;COD;270,1305434;268,0564628;220,3718557;275,8219735;144,5950827;135,7371468;134,9819243;138,9740464;138,5863064;102,5979776;405,216253;153,5910092;175,0099651;173,7961353;194,0399624;218,3861908
Congo, Rep.;COG;1187,551284;1124,901114;1178,023799;749,6348578;672,1631948;781,5235685;912,0139881;810,077492;660,4723724;774,7116899;1029,577037;868,3399509;912,2781532;1026,107674;1324,219142;1680,204588
Colombia;COL;1445,328368;1456,693969;1697,112887;1893,54205;2284,838749;2539,912877;2620,538762;2827,379752;2566,02406;2209,93148;2520,480898;2439,681789;2396,627303;2281,401927;2782,623053;3404,19019
Comoros;COM;1043,800803;1000,558651;1047,979551;1008,029494;690,4717309;838,171684;810,5442344;726,0552078;718,1170893;723,1850928;645,8186908;680,3185414;744,4751724;935,611518;1059,176884;1068,600321
Cabo Verde;CPV;908,0961896;923,7416128;1003,946473;1339,744217;1080,162304;1261,116157;1269,120577;1213,599841;1265,194783;1408,999608;1259,323656;1292,202785;1401,903733;1809,089925;2024,275248;2099,157484
Costa Rica;CRI;1831,001912;2238,853644;2595,022522;2828,130172;3016,224348;3247,316987;3198,548672;3375,166341;3579,865884;3653,552719;3772,870012;3944,737613;4024,6519;4129,632791;4385,390719;4654,824822
Caribbean small states;CSS;2989,002302;2932,364023;2861,735285;3064,430745;3196,520314;3502,237497;3793,96403;4412,229541;4680,97443;4927,329142;5247,245456;5369,777118;5595,471017;5938,81901;6453,992362;7249,137309
Cuba;CUB;2703,168039;2278,20868;2057,103404;2073,094865;2624,756793;2794,737268;2286,927382;2308,146195;2331,465648;2558,904794;2747,098575;2837,738018;2999,245244;3197,133754;3395,71205;3786,664795
Curacao;CUW;;;;;;;;;;;;;;;;
Cayman Islands;CYM;;;;;;;;;;;;;;;;47014,32449
Cyprus;CYP;9641,575273;9696,099593;11310,07192;10526,14177;11617,69278;15261,42646;15139,22803;14234,24948;15092,82959;15287,91756;14388,3467;14821,44552;16093,21868;20252,24214;23792,61793;24959,26591
Czech Republic;CZE;3917,15984;2878,719283;3352,034161;3931,744463;4601,952312;5788,150737;6493,863346;5996,83381;6458,904501;6307,698004;6011,61522;6609,20553;8032,896612;9773,117503;11685,88724;13346,17639
Germany;DEU;22303,96133;23357,75773;26438,23039;25522,62957;27076,60675;31658,34938;30485,86655;26964,04947;27289,05936;26725,91522;23635,92922;23607,88286;25077,72908;30243,57653;34044,05363;34507,36881
Djibouti;DJI;766,1409545;762,0113217;777,2623296;753,5201889;790,0322652;789,5517691;767,500315;760,6350212;755,7616936;765,856135;768,1760767;780,9082226;791,3894782;818,8666298;863,2316123;904,7297489
Dominica;DMA;2860,43156;3122,789982;3317,90456;3466,386082;3721,347165;3861,179613;4120,418405;4291,692307;4593,714495;4750,612157;4787,780171;4883,723663;4771,040927;4897,44175;5217,230416;5160,224314
Denmark;DNK;26891,44645;27011,37746;29569,66036;27597,97523;29995,57962;35351,36546;35650,71409;32835,93994;33368,14242;33440,79481;30743,54768;30751,65435;33228,69354;40458,7774;46511,59833;48799,8256
