Country;country.code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005
 Afghanistan;AFG;0.298;0.304;0.312;0.308;0.303;0.327;0.331;0.335;0.339;0.343;0.345;0.347;0.378;0.387;0.400;0.410
 Albania;ALB;0.644;0.625;0.608;0.611;0.617;0.629;0.639;0.639;0.649;0.660;0.667;0.673;0.680;0.687;0.692;0.702
 Algeria;ALG;0.578;0.582;0.589;0.593;0.597;0.602;0.610;0.619;0.629;0.638;0.646;0.655;0.666;0.676;0.685;0.694
 Andorra;AND; ; ; ; ; ; ; ; ; ; ;0.759;0.767;0.780;0.820;0.826;0.819
 Angola;ANG; ; ; ; ; ; ; ; ; ;0.384;0.394;0.404;0.419;0.428;0.440;0.453
Anguilla;ANL;;;;;;;;;;;;;;;;
Antarctica;_ARC;;;;;;;;;;;;;;;;
 Antigua and Barbuda;ANT; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0.773
 Argentina;ARG;0.707;0.714;0.719;0.725;0.729;0.731;0.738;0.746;0.752;0.763;0.770;0.775;0.770;0.775;0.775;0.777
 Armenia;ARM;0.633;0.629;0.585;0.590;0.600;0.604;0.614;0.625;0.637;0.644;0.649;0.653;0.663;0.672;0.681;0.694
Aruba;ARU;;;;;;;;;;;;;;;;
 Australia;AUL;0.866;0.867;0.868;0.872;0.875;0.883;0.886;0.889;0.892;0.895;0.898;0.900;0.903;0.904;0.907;0.902
 Austria;AUS;0.795;0.799;0.805;0.809;0.813;0.817;0.820;0.824;0.828;0.834;0.838;0.849;0.838;0.842;0.849;0.855
 Azerbaijan;AZE; ; ; ; ; ;0.612;0.612;0.618;0.627;0.634;0.641;0.649;0.658;0.667;0.674;0.681
 Bahamas;BHM; ; ; ; ; ; ; ; ; ; ;0.787;0.788;0.790;0.789;0.790;0.791
 Bahrain;BAH;0.736;0.755;0.756;0.764;0.768;0.775;0.779;0.781;0.784;0.786;0.792;0.792;0.792;0.793;0.792;0.792
 Bangladesh;BNG;0.388;0.395;0.403;0.411;0.419;0.427;0.436;0.444;0.453;0.462;0.470;0.479;0.485;0.492;0.499;0.506
 Barbados;BAR;0.732;0.733;0.733;0.737;0.743;0.747;0.751;0.757;0.756;0.764;0.771;0.770;0.774;0.778;0.782;0.786
 Belarus;BLR; ; ; ; ; ;0.656;0.661;0.667;0.671;0.676;0.682;0.689;0.696;0.704;0.714;0.724
 Belgium;BEL;0.806;0.810;0.825;0.838;0.845;0.851;0.857;0.862;0.866;0.868;0.873;0.876;0.879;0.882;0.885;0.889
 Belize;BLZ;0.613;0.618;0.624;0.627;0.627;0.627;0.627;0.630;0.631;0.636;0.643;0.647;0.655;0.663;0.668;0.666
 Benin;BEN;0.348;0.354;0.358;0.365;0.368;0.373;0.377;0.381;0.385;0.391;0.398;0.410;0.419;0.426;0.434;0.440
Bermuda;BER;;;;;;;;;;;;;;;;
 Bhutan;BHU; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0.512
 Bolivia (Plurinational State of);BOL;0.540;0.549;0.555;0.562;0.570;0.578;0.585;0.587;0.599;0.608;0.616;0.619;0.625;0.629;0.630;0.632
 Bosnia and Herzegovina;BOS; ; ; ; ; ; ; ; ; ; ;0.669;0.675;0.681;0.686;0.692;0.700
 Botswana;BOT;0.570;0.576;0.574;0.573;0.567;0.573;0.572;0.575;0.577;0.579;0.578;0.580;0.576;0.583;0.589;0.598
 Brazil;BRA;0.613;0.620;0.626;0.634;0.642;0.651;0.657;0.664;0.670;0.675;0.684;0.691;0.698;0.694;0.697;0.700
British Virgin Islands;VGB;;;;;;;;;;;;;;;;
 Brunei Darussalam;BRU;0.768;0.773;0.778;0.783;0.788;0.791;0.794;0.797;0.798;0.804;0.805;0.806;0.809;0.815;0.820;0.824
 Bulgaria;BUL;0.694;0.691;0.691;0.690;0.691;0.697;0.703;0.704;0.710;0.709;0.712;0.722;0.729;0.738;0.745;0.750
 Burkina Faso;BFO; ; ; ; ; ; ; ; ; ; ;0.286;0.290;0.296;0.303;0.312;0.324
 Burundi;BUI;0.295;0.298;0.294;0.294;0.291;0.287;0.283;0.283;0.287;0.288;0.293;0.294;0.304;0.312;0.322;0.329
 Cabo Verde;CAP; ; ; ; ; ; ; ; ; ; ;0.564;0.566;0.576;0.580;0.586;0.592
 Cambodia;CAM;0.384;0.388;0.393;0.397;0.374;0.387;0.391;0.397;0.402;0.407;0.419;0.434;0.453;0.466;0.478;0.490
 Cameroon;CAO;0.445;0.442;0.438;0.432;0.430;0.429;0.428;0.429;0.434;0.434;0.439;0.455;0.457;0.463;0.468;0.469
 Canada;CAN;0.850;0.853;0.856;0.854;0.859;0.861;0.863;0.863;0.861;0.864;0.868;0.872;0.877;0.882;0.887;0.892
Cayman Islands;CAY;;;;;;;;;;;;;;;;
